Feature Codename	Feature Name
MBAXt	Mean Body Acceleration -X (Time Domain)
MBAYt	Mean Body Acceleration -Y (Time Domain)
MBAZt	Mean Body Acceleration -Z (Time Domain)
StdBAXt	Std Dev Body Acceleration -X (Time Domain)
StdBAYt	Std Dev Body Acceleration -Y (Time Domain)
StdBAZt	Std Dev Body Acceleration -Z (Time Domain)
MGAXt	Mean Gravity Acceleration -X (Time Domain)
MGAYt	Mean Gravity Acceleration -Y (Time Domain)
MGAZt	Mean Gravity Acceleration -Z (Time Domain)
StdGAXt	Std Dev Gravity Acceleration -X (Time Domain)
StdGAYt	Std Dev Gravity Acceleration -Y (Time Domain)
StdGAZt	Std Dev Gravity Acceleration -Z (Time Domain)
MBAJXt	Mean Body Acceleration Jerk -X (Time Domain)
MBAJYt	Mean Body Acceleration Jerk -Y (Time Domain)
MBAJZt	Mean Body Acceleration Jerk -Z (Time Domain)
StdBAJXt	Std Dev Body Acceleration Jerk -X (Time Domain)
StdBAJYt	Std Dev Body Acceleration Jerk -Y (Time Domain)
StdBAJZt	Std Dev Body Acceleration Jerk -Z (Time Domain)
MBGXt	Mean Body Gyro -X (Time Domain)
MBGYt	Mean Body Gyro -Y (Time Domain)
MBGZt	Mean Body Gyro -Z (Time Domain)
StdBGXt	Std Dev Body Gyro -X (Time Domain)
StdBGYt	Std Dev Body Gyro -Y (Time Domain)
StdBGZt	Std Dev Body Gyro -Z (Time Domain)
MBGJXt	Mean Body Gyro Jerk -X (Time Domain)
MBGJYt	Mean Body Gyro Jerk -Y (Time Domain)
MBGJZt	Mean Body Gyro Jerk -Z (Time Domain)
StdBGJXt	Std Dev Body Gyro Jerk -X (Time Domain)
StdBGJYt	Std Dev Body Gyro Jerk -Y (Time Domain)
StdBGJZt	Std Dev Body Gyro Jerk -Z (Time Domain)
MBAMt	Mean Body Acceleration Magnitude (Time Domain)
StdBAMt	Std Dev Body Acceleration Magnitude (Time Domain)
MGAMt	Mean Gravity Acceleration Magnitude (Time Domain)
StdGAMt	Std Dev Gravity Acceleration Magnitude (Time Domain)
MBAJMt	Mean Body Acceleration Jerk Magnitude (Time Domain)
StdBAJMt	Std Dev Body Acceleration Jerk Magnitude (Time Domain)
MBGMt	Mean Body Gyro Magnitude (Time Domain)
StdBGMt	Std Dev Body Gyro Magnitude (Time Domain)
MBGJMt	Mean Body Gyro Jerk Magnitude (Time Domain)
StdBGJMt	Std Dev Body Gyro Jerk Magnitude (Time Domain)
MBAXf	Mean Body Acceleration -X (Freq Domain)
MBAYf	Mean Body Acceleration -Y (Freq Domain)
MBAZf	Mean Body Acceleration -Z (Freq Domain)
StdBAXf	Std Dev Body Acceleration -X (Freq Domain)
StdBAYf	Std Dev Body Acceleration -Y (Freq Domain)
StdBAZf	Std Dev Body Acceleration -Z (Freq Domain)
MFBAXf	Mean Frequency Body Acceleration -X (Freq Domain)
MFBAYf	Mean Frequency Body Acceleration -Y (Freq Domain)
MFBAZf	Mean Frequency Body Acceleration -Z (Freq Domain)
MBAJXf	Mean Body Acceleration Jerk -X (Freq Domain)
MBAJYf	Mean Body Acceleration Jerk -Y (Freq Domain)
MBAJZf	Mean Body Acceleration Jerk -Z (Freq Domain)
StdBAJXf	Std Dev Body Acceleration Jerk -X (Freq Domain)
StdBAJYf	Std Dev Body Acceleration Jerk -Y (Freq Domain)
StdBAJZf	Std Dev Body Acceleration Jerk -Z (Freq Domain)
MFBAJXf	Mean Frequency Body Acceleration Jerk -X (Freq Domain)
MFBAJYf	Mean Frequency Body Acceleration Jerk -Y (Freq Domain)
MFBAJZf	Mean Frequency Body Acceleration Jerk -Z (Freq Domain)
MBGXf	Mean Body Gyro -X (Freq Domain)
MBGYf	Mean Body Gyro -Y (Freq Domain)
MBGZf	Mean Body Gyro -Z (Freq Domain)
StdBGXf	Std Dev Body Gyro -X (Freq Domain)
StdBGYf	Std Dev Body Gyro -Y (Freq Domain)
StdBGZf	Std Dev Body Gyro -Z (Freq Domain)
MFBGXf	Mean Frequency Body Gyro -X (Freq Domain)
MFBGYf	Mean Frequency Body Gyro -Y (Freq Domain)
MFBGZf	Mean Frequency Body Gyro -Z (Freq Domain)
MABMf	Mean Acceleration Body Magnitude (Freq Domain)
StdABMf	Std Dev Acceleration Body Magnitude (Freq Domain)
MFABMf	Mean Frequency Acceleration Body Magnitude (Freq Domain)
MBAJMf	Mean Body Acceleration Jerk Magnitude (Freq Domain)
StdBAJMf	Std Dev Body Acceleration Jerk Magnitude (Freq Domain)
MFBAJMf	Mean Frequency Body Acceleration Jerk Magnitude (Freq Domain)
MBGMf	Mean Body Gyro Magnitude (Freq Domain)
StdBGMf	Std Dev Body Gyro Magnitude (Freq Domain)
MFBGMf	Mean Frequency Body Gyro Magnitude (Freq Domain)
MBGJMf	Mean Body Gyro Jerk Magnitude (Freq Domain)
StdBGJMf	Std Dev Body Gyro Jerk Magnitude (Freq Domain)
MFBGJMf	Mean Frequency Body Gyro Jerk Magnitude (Freq Domain)
